shipment_id,order_id,origem,destino,transportadora,data_envio,data_entrega,prazo_dias,custo,status
1,1,PE,RJ,Trans A,2024-07-08,2024-07-08,1,138.61,entregue
2,2,SP,RJ,Trans A,2024-07-08,2024-07-16,6,328.01,atraso
3,3,GO,MG,Trans A,2024-01-24,2024-01-26,1,332.85,entregue
4,4,RJ,DF,Trans E,2024-07-02,2024-07-05,2,256.2,entregue
5,5,RJ,PR,Trans D,2024-03-12,2024-03-19,5,398.7,atraso
6,6,PE,MG,Trans B,2024-04-18,2024-04-23,6,170.43,entregue
7,7,SP,PR,Trans C,2024-01-24,2024-01-25,1,435.95,entregue
8,8,RS,PE,Trans E,2024-07-25,2024-07-28,3,305.22,entregue
9,9,MG,SP,Trans D,2024-05-21,2024-05-23,1,339.78,entregue
10,10,RS,MG,Trans C,2024-02-19,2024-02-26,5,357.73,atraso
11,11,PR,MG,Trans C,2024-08-06,2024-08-06,1,239.65,entregue
12,12,RJ,PR,Trans D,2024-08-01,2024-08-07,6,229.21,entregue
13,13,BA,RJ,Trans C,2024-08-27,2024-09-01,6,335.84,entregue
14,14,MG,RS,Trans B,2024-07-05,2024-07-10,5,239.37,entregue
15,15,DF,SP,Trans E,2024-06-24,2024-06-25,2,176.2,entregue
16,16,SC,RJ,Trans A,2024-03-21,2024-03-27,7,168.61,entregue
17,17,RS,DF,Trans E,2024-03-21,2024-03-27,6,246.17,entregue
18,18,RJ,PE,Trans D,2024-03-08,2024-03-11,2,315.77,entregue
19,19,PE,SP,Trans C,2024-05-29,2024-06-05,6,247.75,entregue
20,20,SP,MG,Trans B,2024-05-10,2024-05-11,2,441.66,entregue
21,21,RJ,MG,Trans B,2024-02-10,2024-02-21,6,330.49,atraso
22,22,DF,GO,Trans D,2024-06-01,2024-06-08,4,487.85,cancelado
23,23,PR,DF,Trans A,2024-07-03,2024-07-10,6,395.37,entregue
24,24,SC,RS,Trans C,2024-03-16,2024-03-17,1,81.36,entregue
25,25,GO,SC,Trans C,2024-07-14,2024-07-18,5,445.62,entregue
26,26,BA,SC,Trans C,2024-06-12,2024-06-18,7,144.19,entregue
27,27,DF,RJ,Trans B,2024-07-18,2024-07-24,5,285.21,cancelado
28,28,SC,GO,Trans A,2024-08-12,2024-08-17,3,104.33,em trânsito
29,29,RS,SP,Trans E,2024-01-22,2024-01-25,1,490.75,atraso
30,30,PR,RJ,Trans E,2024-02-02,2024-02-09,7,477.68,entregue
31,31,SC,RS,Trans B,2024-05-15,2024-05-23,3,485.03,atraso
32,32,PE,PR,Trans E,2024-07-05,2024-07-13,7,210.92,entregue
33,33,DF,RJ,Trans C,2024-08-18,2024-08-21,4,184.12,entregue
34,34,RS,RJ,Trans A,2024-01-06,2024-01-08,3,327.14,entregue
35,35,RS,SP,Trans A,2024-06-30,2024-06-30,1,108.31,entregue
36,36,GO,SP,Trans A,2024-03-25,2024-03-31,7,196.96,entregue
37,37,RJ,PR,Trans D,2024-05-18,2024-05-21,2,322.01,entregue
38,38,PE,SC,Trans B,2024-05-01,2024-05-11,7,119.62,atraso
39,39,BA,SP,Trans D,2024-04-18,2024-04-22,3,102.75,entregue
40,40,PE,RJ,Trans A,2024-04-13,2024-04-16,1,184.44,atraso
41,41,MG,SC,Trans B,2024-04-24,2024-04-28,5,196.99,entregue
42,42,PR,RJ,Trans B,2024-08-24,2024-09-01,7,121.12,entregue
43,43,PR,RJ,Trans E,2024-01-04,2024-01-12,7,250.69,em trânsito
44,44,SP,BA,Trans D,2024-08-09,2024-08-10,2,149.15,entregue
45,45,PE,SP,Trans A,2024-03-08,2024-03-14,4,257.66,cancelado
46,46,GO,BA,Trans E,2024-07-02,2024-07-07,6,204.62,entregue
47,47,PR,SC,Trans A,2024-07-07,2024-07-13,5,211.71,entregue
48,48,RJ,PE,Trans A,2024-05-02,2024-05-08,5,146.12,entregue
49,49,RS,BA,Trans E,2024-08-05,2024-08-07,1,108.54,entregue
50,50,PE,RS,Trans B,2024-01-31,2024-02-07,4,323.15,em trânsito
51,51,PR,SP,Trans A,2024-01-21,2024-01-27,5,317.4,entregue
52,52,SP,PE,Trans C,2024-02-22,2024-02-25,3,180.25,entregue
53,53,PE,RS,Trans D,2024-06-20,2024-06-22,2,212.79,entregue
54,54,MG,RJ,Trans A,2024-04-27,2024-04-29,1,498.36,entregue
55,55,DF,MG,Trans A,2024-02-24,2024-02-28,5,471.97,entregue
56,56,GO,RJ,Trans A,2024-04-04,2024-04-06,2,430.17,entregue
57,57,BA,PE,Trans C,2024-07-25,2024-07-29,5,360.5,entregue
58,58,DF,MG,Trans E,2024-08-26,2024-08-28,3,191.08,entregue
59,59,MG,PE,Trans A,2024-05-21,2024-05-27,6,334.03,entregue
60,60,SP,DF,Trans C,2024-06-24,2024-06-26,2,292.27,entregue
61,61,PR,SC,Trans C,2024-01-14,2024-01-21,7,428.33,entregue
62,62,PE,SC,Trans A,2024-03-26,2024-03-31,1,147.86,atraso
63,63,PR,GO,Trans D,2024-06-29,2024-07-03,5,126.99,entregue
